# SHSynth 球谐综合结果  系数=shkit_coeffs.sh  nmax=12  高斯平滑=0 km  物理量=unknown
# shsynth_meta {"source_coeffs": "shkit_coeffs.sh", "source_coeffs_path": "D:\\华为家庭存储\\1_Joe Science Data\\1_1_GRACE\\1_data\\2_Level-2\\SHKit\\shkit_coeffs.sh", "nmax": 12, "coeff_nmax": 12, "ntime": 1, "time_index": 0, "field_unit_in": "unknown", "field_unit_out": "unknown", "gaussian_km": 0.0, "gaussian_method": null, "units": null, "producer": "SHSynth"}
lat,lon,value
5,60,-2.784308288
5,60.5,-2.784984836
5,61,-2.785388119
5,61.5,-2.785483061
5,62,-2.785236502
5,62.5,-2.784617379
5,63,-2.7835969
5,63.5,-2.782148684
5,64,-2.780248882
5,64.5,-2.777876277
5,65,-2.775012349
5,65.5,-2.771641331
5,66,-2.767750227
5,66.5,-2.763328817
5,67,-2.758369632
5,67.5,-2.75286791
5,68,-2.746821533
5,68.5,-2.74023094
5,69,-2.733099025
5,69.5,-2.725431018
5,70,-2.717234348
5,70.5,-2.708518495
5,71,-2.699294832
5,71.5,-2.68957645
5,72,-2.679377983
5,72.5,-2.668715419
5,73,-2.657605916
5,73.5,-2.646067604
5,74,-2.634119395
5,74.5,-2.621780791
5,75,-2.609071688
5,75.5,-2.5960122
5,76,-2.582622467
5,76.5,-2.56892249
5,77,-2.554931958
5,77.5,-2.540670099
5,78,-2.526155523
5,78.5,-2.511406096
5,79,-2.496438812
5,79.5,-2.481269678
5,80,-2.465913622
5,80.5,-2.450384403
5,81,-2.434694538
5,81.5,-2.418855247
5,82,-2.402876406
5,82.5,-2.386766513
5,83,-2.370532673
5,83.5,-2.354180588
5,84,-2.337714566
5,84.5,-2.321137539
5,85,-2.304451091
5,85.5,-2.2876555
5,86,-2.270749787
5,86.5,-2.253731776
5,87,-2.236598162
5,87.5,-2.219344586
5,88,-2.20196572
5,88.5,-2.184455356
5,89,-2.166806497
5,89.5,-2.149011463
5,90,-2.131061987
5,90.5,-2.112949328
5,91,-2.094664376
5,91.5,-2.076197761
5,92,-2.057539971
5,92.5,-2.038681458
5,93,-2.019612753
5,93.5,-2.000324575
5,94,-1.980807942
5,94.5,-1.961054278
5,95,-1.941055519
5,95.5,-1.920804213
5,96,-1.900293621
5,96.5,-1.879517811
5,97,-1.85847175
5,97.5,-1.837151388
5,98,-1.81555374
5,98.5,-1.793676964
5,99,-1.771520427
5,99.5,-1.749084771
5,100,-1.726371971
5,100.5,-1.703385385
5,101,-1.680129799
5,101.5,-1.65661146
5,102,-1.632838109
5,102.5,-1.608818999
5,103,-1.58456491
5,103.5,-1.560088149
5,104,-1.535402551
5,104.5,-1.51052346
5,105,-1.485467712
5,105.5,-1.460253597
5,106,-1.434900822
5,106.5,-1.409430459
5,107,-1.383864883
5,107.5,-1.358227705
5,108,-1.332543686
5,108.5,-1.306838656
5,109,-1.281139408
5,109.5,-1.255473594
5,110,-1.229869607
5,110.5,-1.204356454
5,111,-1.178963628
5,111.5,-1.153720959
5,112,-1.128658474
5,112.5,-1.103806236
5,113,-1.079194188
5,113.5,-1.054851986
5,114,-1.030808832
5,114.5,-1.007093301
5,115,-0.9837331658
5,115.5,-0.9607552272
5,116,-0.9381851353
