# SHSynth 1.0.0 coefficients, layout n,m,C,S
# nmax = 8   ntime = 1   (C,S are the first time step; extra columns hold later steps)
# SHSynth 导出的系数
n,m,C,S
0,0,-1.4234032654161239,0
1,0,1.2583053311748345,0
2,0,-0.018800774078880915,0
3,0,-0.2116891510578443,0
4,0,0.047343924056876908,0
5,0,0.017468112506499819,0
6,0,0.019266526543502211,0
7,0,0.001021978665741439,0
8,0,-0.021170913152618126,0
1,1,-0.86677202128149589,-0.25822043818363299
2,1,-0.18246920645372997,-0.33710094307952637
3,1,0.25399629575776012,0.10490447023129175
4,1,-0.074650104323904509,0.034476276737400731
5,1,-0.049844030095713386,-0.0030448511486602641
6,1,-0.016597355951228528,-0.031779585670948289
7,1,0.0080505429534203071,0.0049975850384533843
8,1,-0.011626912646514682,0.0088559096808926274
2,2,0.16032387346497476,0.089274030869940013
3,2,-0.081542345131984523,0.098142741212768239
4,2,0.08312981270315524,0.078952620536172594
5,2,0.06481832409560119,0.098420826541856923
6,2,0.0064863023885281951,0.0075557687327066246
7,2,0.0090993030951207858,0.0097600131852469112
8,2,-0.015892355852860356,0.0085212148633392066
3,3,-0.050338461220877401,-0.0069872304634544333
4,3,-0.018031738443470037,0.0544481989993797
5,3,0.028414642080263546,0.030863473694316336
6,3,-0.0030685273263951715,0.031597288764117701
7,3,0.011117994346602275,-0.014356641725676231
8,3,-0.018722114727707153,-0.012489878274627487
4,4,-0.096849281123158534,-0.0091470935693195605
5,4,-0.035761566121703406,-0.045152973642148181
6,4,-0.0030020846760051298,-0.0017547037594044723
7,4,0.0049165483308179726,-0.028451981133750092
8,4,-0.014716733523450537,-0.00013458366594723138
5,5,-0.052639693168303983,0.020079209923428532
6,5,-0.027790451061593717,0.0034003210022649621
7,5,0.0046670971921324569,-0.022832228228024956
8,5,0.0070226848906283501,-0.013777986376875922
6,6,0.033931095970259624,0.0015198601919346863
7,6,-0.0015836670105526755,0.0084865307051907885
8,6,-0.0019901878569929042,0.021817865512890555
7,7,-0.0073154753311750658,0.0016380712005757006
8,7,-0.0040260942783682651,-0.010518267563098144
8,8,0.0049293411085480354,-0.0032204619469794714
